hypothesis,premise,s1,s2,label,contradiction_severity_score,reviewer1_label,reviewer1_score,reviewer2_label,reviewer2_score,reviewer3_label,reviewer3_score,annotator_agreement
- for such a small sample size i am not convinced the nn is necessary .,following the summary comment the main issue is -- the idea makes sense in terms of using fair representation learning for confounding variable analysis .,positive,negative,0,-1,0,-1,0,-3,0,-3,FALSE
- from the analysis technique and the main results it seems that this work is incremental to 1 which limits the originality and contributions .,technically the paper does not introduce heavy machinery but the obtained insights lead to new understanding of the problem which seems to be absent in the literature so far .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
- from the experimental results in table 1 it is not very clear whether the proposed method outperforms the other methods .,the approach for realizing this idea is well thought-out .,positive,negative,0,-1,0,-1,0,1,0,0,FALSE
- generally although the paper is ok written there are several unclarities .,clarity of the submission is overall good sections 3.1-3.3 treat the contributions in sufficient detail .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- good incorporation of past methods for improving robustness in rl .,- the metrics used in the empirical comparisons do n't seem exactly right to me .,negative,positive,0,0,0,0,0,0,0,0,TRUE
- i did not find the experiments very convincing .,evaluation this is a solid paper the idea is clear it is well communicated and put into context of the existing literature and the results are promising .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- i think the proofs in the paper looks a bit cluttering .,the paper is generally well-written and provides a succinct self-contained description of the results techniques and proofs .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- i think the readability of the paper would benefit from another few proofreads there are a number of grammatical issues throughout and several sentence fragments eg .,it is well written in most of cases and easy to follow however i got the impression that the paper was rushed in the last minute there are some trivial typos and very low resolution images etc .,positive,negative,0,-1,0,-1,0,0,0,-2,FALSE
- in section 4.2 it would be worth to show also results applying other algorithms to this dense dataset .,the authors offer two new algorithms that use the sketching two theoretical results and numerical experiments which are particularly convincing .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- it is not clear what table 2 is showing .,- the paper is clearly written and key contributions are well present .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- it 's not clear what exactly was the motivation for proposing full-sentences and doc-sentences input formats .,overall i believe this paper comes at the right time and is addressing an interesting problem .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- not much technically new or surprising compared to past work on disentangling generative models .,comments this paper presents a novel model to decompose the latent code in a semantic manner .,positive,negative,1,5,1,5,1,5,1,5,TRUE
- one thing that was not clear to me is the impact of re-setting alpha each iteration in this manner has on the log-likelihood .,the paper is well written and technically correct .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
- paper is well written motivated weaknesses - multinli seem to have too much correlation between tasks .,2 .the choice of key-value memory bank is not intuitive .,negative,positive,0,0,0,0,0,0,0,0,TRUE
- please proofread line 162 the sentence is difficult to parse .,the writeup is exceptionally clear and well organized -- full marks,positive,negative,1,4,1,4,1,4,1,4,TRUE
- quality the analysis is quite thorough and seems correct although i have not checked the proofs in detail .,a weakness of the paper is that the theoretical results use standard properties of mutual information and gaussian dirichlet bernoulli distributions and hence lead to very general and very loose bounds .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
-- results i find it hard to follow the results .,the paper is clearly written .,positive,negative,1,5,1,5,1,5,1,5,TRUE
- since i think the main contribution of this paper is a data augmentation technique for facial recognition systems it 'd be good to see 1 dataset explored .,this method gets good performance improvement in both comparable datasets .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- success rate is not enough for evaluation .,2 .the authors provide a thorough analysis on the contribution of different feature types mask depth rgb towards the success rate of the goal task .,positive,negative,1,5,1,5,1,5,1,5,TRUE
- synthetic and real-data applications are described in a reproducible manner and show that the proposed approach can yield an improvement in prediction in multiple scenarios .,i still think that there is little justification for the algorithm .,negative,positive,1,5,1,5,1,5,1,5,TRUE
- synthetic and real-data applications are described in a reproducible manner and show that the proposed approach can yield an improvement in prediction in multiple scenarios .,as it stands the algorithm still appears ad hoc to me .,negative,positive,1,5,1,5,1,5,1,5,TRUE
- the comparison with and discussion of cpc is lacking .,revision 2 the new comparisons with cpc are very helpful .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the datasets used are not very interesting cifar is too small and imagenet is essentially solved .,pros the paper is well written and the method is well explained the authors ablate and experiment on large scale datasets cons - the proposed method is a simple extension of resnext - the gains are reasonable yet not sota and come at a price of more complex training protocols see below - generalization to other tasks not shown the authors do a great job walking us through the formulation and intutition of their proposed approach .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the evaluation is thorough .,however i was not fully convinced by the experimental evaluation .,negative,positive,1,4,1,4,1,4,1,4,TRUE
- the evaluation is thorough .,i nevertheless think that the experimental evaluation could be improved .,negative,positive,1,4,1,4,1,4,1,4,TRUE
- the experiments are not well motivated .,overall the paper is mostly clear the technique is reasonable and the best model does indeed appear to work well .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the experiments are performed on very simple synthetic problems matrix games and tic-tac-toe .,more formal arguments and or stronger experimental evidence are necessary .,negative,positive,0,0,0,0,0,1,0,-1,FALSE
-- the experiments are solid and the performance on three different architectures are shown for comparison .,i find the experimental evidence for the effectiveness of alrao insufficient .,negative,positive,1,4,1,4,1,4,1,4,TRUE
-- the experiments are solid and the performance on three different architectures are shown for comparison .,also more experiments comparing alrao against sampling learning rates per weight are needed .,negative,positive,1,4,1,4,1,4,1,4,TRUE
-- the experiments are solid and the performance on three different architectures are shown for comparison .,given the current results it is still unclear whether the proposed method performs better .,negative,positive,1,4,1,4,1,4,1,4,TRUE
- the extensive experiments in the supplementary material are appreciated .,the experiments could be more convincing if using more complex data sets e.g .cifar10 imagenet besides celeba .,negative,positive,0,-1,0,-1,0,-2,0,-3,FALSE
- the idea of using a diverse summary to do robust policy optimization is interesting .,overall my view is that the idea is good but somewhat small and it has n't really yet been proven to make a big difference .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
- the introduction section can be improved .,the authors also perform an analysis on a shortest path synthetic task and demonstrate that this model is better than standard seq2seq .the paper is well-written and it is easy to follow .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- the introduction text in the 2nd page does n't have smooth flow and sometimes hard to follow .,the paper is written clearly and is very easy to follow .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the paper is a bit hard to follow and would be improved by giving a more explicit comparison of the methods used here to past work especially 1 and 3 .,the paper especially the experiment section is well written and easy to follow .,positive,negative,1,3,1,3,1,3,1,3,TRUE
- the paper is easy to read but not necessarily well written .,the presentation of the experimental results should be improved .,negative,positive,0,-1,0,-1,0,1,0,1,FALSE
- the precise novelty of the first modification is not clearly explained .,i find the contributions significant well described and the intuition behind them is conveyed convincingly .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the precise novelty of the first modification is not clearly explained .,clarity of the submission is overall good sections 3.1-3.3 treat the contributions in sufficient detail .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- the proposed algorithm is well constructed and is a step-forward from the main reference 1 .,neither the algorithm not its analysis which does not seem to contain any striking new ideas are well explained in the paper .,negative,positive,1,4,1,4,1,4,1,4,TRUE
- the proposed method also obtain very good results compared to existing polysemous word embeddings .,the experiments in this paper done on semeval-2010 are not very persuasive .,negative,positive,1,5,1,5,1,5,1,5,TRUE
- the relationship between the joint m best diverse and parametric submodular minimization is an interesting theoretical contribution .,this work builds primarily on the work of kirillov but feels a bit incremental in some ways as the main theoretical result is very reminiscent of previous work .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
- the writing was clear and easy to follow .,however in order to be more reader-friendly the authors had better reorganise the layout to keep texts and their corresponding figures tables algorithms on the same paper as much as possible .,negative,positive,0,-1,0,-1,0,1,0,0,FALSE
- there are some errors and unclear things in the mathematical derivations in the equation above eq .2 alpha should in fact be alpha i and it is not a vector no need to transpose it in eq .2 it should be alpha i alpha j instead of alpha talpha in eq .3 it,evaluation i found this paper quite clear to read and enjoyed reading it .,positive,negative,0,-1,0,-1,0,1,0,0,FALSE
- there is a promise in the introduction of an interpretably advantage that was not proved in the experiments .,the method presented seems to make sense .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- this paper provides extensive experiments that demonstrate the effectiveness of the proposed method .,it would be helpful to also include the variance of each experiment i.e.,negative,positive,0,-1,0,-1,0,-3,0,-2,FALSE
- to be honest i 'm not sure the first curve-finding part explains well why the fge work .,i found the paper very clear easy to follow and with compelling ideas specially the ones related to the paths between modes .,positive,negative,1,4,1,4,1,4,1,4,TRUE
- two methods are provided without much analysis .,the paper is well written and the experimental results on synthetic and real world data show that the algorithm can quickly adapt its policy and achieve good results in the tasks when compared to related approaches .,positive,negative,1,5,1,5,1,5,1,5,TRUE
- typo find the most orthogonal representation if the inputs - of the inputs overall the main idea of this paper is interesting and well motivated and but the technical contribution seems incremental .,significance this is a promising idea .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
.the algorithm proposed is a classical neural net without any insight i believe its behavio must more or less be similar to regret matching .,the paper has an interesting idea at the core .,positive,negative,0,0,0,0,0,2,0,1,FALSE
.the extension of the caron -- fox and todeschini et al .models to a temporal setting is novel and very few models have approached this .,while the model is elegant i think its assumptions are too simplistic for real-world interaction data and the model itself is not novel enough to justify this .,negative,positive,0,-1,0,-1,0,1,0,0,FALSE
1 .the dependence of the quality of the dimensionality representational state is unclear .,overall the paper is clear and the proposed method makes sense intuitively .,positive,negative,0,-1,0,-1,0,0,0,-2,FALSE
10 among the baseline and grammarthere are many grammar errors,the paper is easy to follow and seems to describe the methods in enough detail to allow for a replication of the experiments .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
2 .also the definitions are not paritcularly clear or standard .,clarity the paper is generally very well-written .,positive,negative,0,0,0,0,0,0,0,0,TRUE
2 .as a paper focusing on experiments the results are not enough in the following senses a there are other existing work of mcts in continuous action spaces but they are not mentioned like monte carlo tree search in continuous action spaces with execution uncertainty yee et al.,- experimental results are quite promising as expected .,positive,negative,1,4,1,4,1,4,1,4,TRUE
2 .experiments -- 2.1 .,the experiments convincingly demonstrate gains in performance and smaller network sizes compared to baseline models naive boosting methods and a related method called autogrow .,positive,negative,0,-1,0,-1,0,-2,0,-2,FALSE
2 .poor framing .,the paper is rather well written and structured .,positive,negative,1,5,1,5,1,5,1,5,TRUE
2 .secondly the baseline approach seemingly underperforms by a large margin in all experiments especially in the mnist autoencoding task thus rendering the claims of superior performance as compared with existing methods less sound .,the experimental validation is convincing which shows that the proposed method is promising .,positive,negative,1,4,1,4,1,4,1,4,TRUE
2 .the authors compare classification performances only on 32x32 cifar-10 images .,pros clear description well built experiments simple yet effective idea no overclaiming detailed comparison with related work architectures cons idea somewhat incremental e.g .can be seen as derivative from bell 2016 results are good but do not improve over state of the art quality the ideas are sound experiments well built and analysed .,positive,negative,0,0,0,0,0,0,0,0,TRUE
2 .the authors perform numerical experiments to demonstrate the effectiveness of their framework in both regression tasks and classification tasks .,a couple minor comments i have are - it would be nice to run regression experiments for bigger real-world datasets as the ones used seem to be quite small .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
2 .the choice of key-value memory bank is not intuitive .,clarity overall the paper is well organized and logically clear .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
2 .the experimental settings are detailed and the results support the main claim .,eq 2 i think the gating mechanism is an important aspect that makes the poe work but even in appendix it 's not quite justified why the gating helps .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
2 .the idea is interesting and reasonable .,weaknesses one could eventually object that adversarial domain adaptation is not new and neither are projections into shared and private spaces and orthogonality constraints .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
2 .the paper is well-written and relatively easy to read .,please provide more details on what is plotted in figure 1 .,negative,positive,0,0,0,0,0,-1,0,-1,FALSE
2 .with regard to clarity i got confused while reading section 3 because i had expected these to be trained in the meta-learning sense as the previous paragraph end of section 2 discussed learning-to-learn at length .,clarity the paper communicates the main messages clearly .,positive,negative,1,4,1,4,1,4,1,4,TRUE
2 the experiments give tons of number but it lack of detailed analysis like specific win loss case of this model .,i appreciate the extended ablation analysis as it helps to segregate the effect of each component very clearly .,positive,negative,1,4,1,4,1,4,1,4,TRUE
2 the method for transforming sparse graphs into dense ones in section 6.3 is not convincing .,2 .the theoretical results are very close to practical models with little assumptions .,positive,negative,1,5,1,5,1,5,1,5,TRUE
2 the proposed strategy is effective with their experiments various datasets and objective metrics are adopted to validate the regularization .,can you provide full results on all datasets on e e l2 e h,negative,positive,0,0,0,0,0,0,0,0,TRUE
2 there are many grammar errors in the current manuscript .,the paper is well-written .,positive,negative,1,5,1,5,1,5,1,5,TRUE
2 why not examine a standard ga which includes the crossover operator,-their implementation will be made available and includes some useful features compact network encoding etc .,positive,negative,0,0,0,0,0,0,0,0,TRUE
2016 framework to a temporal setting which has not been done before - complex and flexible model for capturing sparsity degree heterogeneity and reciprocity which are desirable properties for many real-world social networks with temporal structure many existing models are either too simplistic often ignoring temporal structure - develops an efficient inference algorithm for a complex model and demonstrates on large network datasets - well-written and good figures weaknesses - can be viewed as gluing together several existing components of network models e.g.,detailed comments the proposed model is elegant .,positive,negative,0,0,0,0,0,-1,0,2,FALSE
3 .although the authors have tried to highlight the difference between the difference between different 0-order gradient estimates i am not convinced that coordgradest is the best approach with such a significant improvement in the convergence .,overall the paper is well structured and thought out both the theoretical and empirical portions and the results are interesting in my opinion for both the ml and optimization communities and as such i recommend this paper for publication at nips .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
3 .experimental performance is convincing .,weaknesses - although the proposed model is helpful to model counting information in vqa it fails to show improvement with respect to a couple of important baselines prediction from image representation only and from the combination of image representation and attention weights .,negative,positive,0,0,0,0,0,0,0,0,TRUE
3 .in general the writing could be improved significantly the paper contains many typos e.g.,the paper is generally well-written and provides a succinct self-contained description of the results techniques and proofs .,positive,negative,1,4,1,4,1,4,1,4,TRUE
3 .section 4.2 needs to be proofread as it contains a large number of grammatical spelling errors and examples of unclear clunky phrasing .,clarity and presentation the paper was a pleasure to read .,positive,negative,1,5,1,5,1,5,1,5,TRUE
3 .solid empirical evaluation .,it would be good to analyze further where the performance gain comes from .,negative,positive,0,0,0,0,0,2,0,1,FALSE
3 .the difference between social network monitoring function and maximum cut function is not clear to me .,the submission is very well written and the prose is clear and easy to read .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
3 .the improvement over the baselines is not significant .,the proposed method is well contrasted against other methods .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
3 .the paper is written clearly and the method is simple and easily understandable .,cons - the model is not end-to-end because word clusters are not continuous .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
3 .the proposed mdm method seems to be incremental .,although the insight is interesting the novelty of this paper is not enough for being accepted by iclr .,positive,negative,0,0,0,0,0,-1,0,-2,FALSE
3 classification experiments are not convincing .,review summary the text is clear the idea well describe the experiments seem well constructed and do not overclaim .,positive,negative,0,0,0,0,0,0,0,0,TRUE
3 is not very enlightening .,the experiments are promising as the proposed method seems to outperform previous algorithms .,positive,negative,0,0,0,0,0,-1,0,-2,FALSE
3 it would be better to present some intuitive explanation for definitions 1-3 for better understanding their meanings .,i want to specially mention that the authors did a great job of providing intuitive interpretations of most definitions which will surely be appreciated by many readers .,positive,negative,1,5,1,5,1,5,1,5,TRUE
3 the authors miss relevant related work such as a neuroevolution approach to general atari game playing by hausknecht et al.,the details in the main paper and supplementary material with e.g.,positive,negative,0,0,0,0,0,0,0,0,TRUE
3 the experimental part is weak -- two toy problems plus an unusual recommendation system problem is not the typical way that people choose to evaluate vi methods .,in the simpler experiments careful ablation studies are done .,positive,negative,0,0,0,0,0,-1,0,-2,FALSE
3. originality this is a good tun-able evaluation method that takes into account the challenges of limiting the scope of what precision and recall are in the case or ranged based anomalies .,while any specific instantiation of the model can be applied to evaluate rank and compare ad algorithms it is n't clear how to do this in general .,negative,positive,1,4,1,4,1,4,1,4,TRUE
4 .computationally the paper is not convincing .,the paper also provides a novel analysis based on keeping track of varying levels of mixing time corresponding to progressively better mixing which may also shed light on future work .,positive,negative,0,0,0,0,0,0,0,0,TRUE
4 .i like the key idea and the speedup is very impressive in the initial experiments reported in the main paper .,review scores reflect this reviewers impression as an extremely well executed albeit incremental contribution .,negative,positive,0,0,0,0,0,0,0,0,TRUE
4 .no quantitative analysis .,the theoretical justification for the structured minibatches is reasonably convincing and invites empirical verification .,positive,negative,1,5,1,5,1,5,1,5,TRUE
4 .theoretical illustration for kerl in sections 3 and 4 is clear and interesting .,the paper is reasonably well written but somewhat dense and hard to follow .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
6 .there are many broken sentences and typos .,the method is technically sound and the paper is clearly written .,positive,negative,1,5,1,5,1,5,1,5,TRUE
6925 2011 comments the proposed algorithm is novel in the sense that it actively detects if there is any change in the arms ' distribution which is quite different from the current literature including the one above .,neither the algorithm not its analysis which does not seem to contain any striking new ideas are well explained in the paper .,negative,positive,1,4,1,4,1,4,1,4,TRUE
a detailed description of the network architecture is provided and each of the configurations has been fully illustrated .,-the paper is organized in a nonstandard way with the methods split across two sections separated by the related work .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
-a lot of details is missing from the model description -no information is given regarding network acthiciteure and training schemes details there is a formatting error for the title of sec 3 .,the level of detail at which it is described is almost sufficient for the main paper .,positive,negative,0,-2,0,-2,0,-2,0,-2,TRUE
a well-written and well-organized paper .,secondly the paper is sloppily-written which quite a few grammar and stylistic mistakes e.g .sentence in sec 3 paragraph 2 we assume obtain to which starts with a lower-case letter and doesn t make sense .,negative,positive,1,4,1,4,1,4,1,4,TRUE
about rating i think the idea looks novel but the method is quite straightforward and the paper does not incorporate any analysis as a backup for the proposed method .,the paper is well written and presented with extensive results comparing computational complexity accuracy curves to existing state of the art architectures as well as results on transfer learning to show that the feature learned do indeed generalize and do n't necessarily overfit to imagenet .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
about the comment 1 the bayesian ensemble of the prediction is not always the best prediction .,paper is mainly excellently written and the method is very interesting extension of maml that seems to clearly improve the performance in the presented experiments .,positive,negative,0,-2,0,-2,0,-4,0,-3,FALSE
active perception and more specifically recognition through saccades or viewpoint selection is an interesting biologically-inspired approach and seems like an intuitive and promising way to improve efficiency .,i am not convinced about the novelty and contribution of the work .,negative,positive,1,5,1,5,1,5,1,5,TRUE
additionally although the paper is very well mathematically defined is not so easy to follow from a practical perspective .,the paper is clearly written and the results seem promising .,positive,negative,0,-1,0,-1,0,-3,0,-2,FALSE
additionally this method is built on a series of heuristics without sound theoretically justification and these heuristics can not be easily adapted to other machine learning applications .,strengths - the proposed model begins with reasonable motivation and shows its effectiveness in experiments clearly .,positive,negative,0,0,0,0,0,0,0,0,TRUE
advantage of using it for unlabeled data is poorly motivated why we can learn smth useful when maximizing the mutual information between graph-level and patch-level representations obtained via gnn,such motivation is pretty reasonable and natural for me .,positive,negative,1,5,1,5,1,5,1,5,TRUE
advantage of using it for unlabeled data is poorly motivated why we can learn smth useful when maximizing the mutual information between graph-level and patch-level representations obtained via gnn,also the usage of both unsupervised and semi-supervised learning procedure is well-motivated .,positive,negative,1,4,1,4,1,4,1,4,TRUE
again it is difficult for me to determine if the presented results are good as i have nothing to compare with .,the paper is comprehensive including a well-motivated and novel method and reasonably solid theoretical and empirical results .,positive,negative,1,5,1,5,1,5,1,5,TRUE
algorithms are good and certainly bmm looks pretty good .,the arguments it hdp is a complex model or existing inference algorithms for hdps ... are also fairly complex do not look convincing .,negative,positive,0,0,0,0,0,0,0,0,TRUE
all in all the originality of the paper is lacking the experimental setup is not convincing and there are not much insights given by the paper into the novel problem .,overall this is a solid work with strong theoretical supports .,positive,negative,1,5,1,5,1,5,1,5,TRUE
also eq.16 is confusing because this only applies to the case sigma 0 0 but not in general .,clarity .this paper is clearly written except for some points described below .,positive,negative,0,0,0,0,0,1,0,1,FALSE
also i am really confused by proposition 1 and its underlying implication .,the paper is very well written and well structured .,positive,negative,0,0,0,0,0,0,0,0,TRUE
also the claim that only log-loss is used for learning distributions is not true .,all of the proofs i checked were correct aside from typos what i think are minor errors that do not affect the result .,positive,negative,0,-1,0,-1,0,-3,0,1,FALSE
also the results seem believable and solid and potentially useful .,thus no experimental evidence is presented in the paper to convince that the proposed approach is better than existing ones .,negative,positive,1,5,1,5,1,5,1,5,TRUE
also the results seem believable and solid and potentially useful .,their experimental results can not properly support their claims .,negative,positive,1,5,1,5,1,5,1,5,TRUE
also there are quite a few notation inconsistency typos and other language errors in these parts especially in supplement which make these parts difficult to read .,also it is clearly written .,positive,negative,0,0,0,0,0,0,0,0,TRUE
although i 'm familiar with the dataset the analysis and comparison seems thorough .,while this is intuitive the authors fail to position the paper in light of various existing discrete-time approaches that focus on representation learning over evolving graphs 1 2 3 4 5 .,negative,positive,1,4,1,4,1,4,1,4,TRUE
although it is just an extension of existing works it does outperform the-state-of-the-art methods and can be used in real-world robots .,strength the paper is very novel and tries to solve a very challenging problem .,positive,negative,1,4,1,4,1,4,1,4,TRUE
although the algorithm seems to have some novelty i am unconvinced of this paper 's contribution especially its theoretical analysis .,in general the method seems useful and the experiments are solid .,positive,negative,1,4,1,4,1,4,1,4,TRUE
although the algorithm seems to have some novelty i am unconvinced of this paper 's contribution especially its theoretical analysis .,i did not find any issues with the technical approach and i think the contribution in that respect is sound .,positive,negative,1,5,1,5,1,5,1,5,TRUE
although the algorithm seems to have some novelty i am unconvinced of this paper 's contribution especially its theoretical analysis .,the contributions of the papers are enough to be considered for a poster presentation .,positive,negative,1,4,1,4,1,4,1,4,TRUE
although the authors provide some qualitative reasons at the end of the paper it is hard to convince me why this approximation can even improve the prediction result .,the experiment shows several promising results and the experimental settings are clear and the results are convincing .,positive,negative,1,4,1,4,1,4,1,4,TRUE
although the presented approach of generating samples from a simulator in this case a smc and fitting a neural network parametrized model to the generated samples is n't terribly novel the application to procedural models is interesting the experiments are thorough for the most part and the results seem promising .,i have really enjoyed the paper and believe it is an amazing one .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
although the topic of this paper is not one about which i am very knowledgable the paper seems to be technically solid and the derivations all seem to make sense .,however the main limitations seems to be that the method seems not easy to generalize to different problems as it uses the specific structure of ica formulation heavily for e.g.,negative,positive,0,-2,0,-2,0,-2,0,-2,TRUE
although there is not much novelty in combining the two the experiments indicate that the performance of dml can improve using the new approach .,1 .authors propose a new loss function in eqn.17 which simply combines lifted structure loss and binomial deviance loss .,positive,negative,0,0,0,0,0,0,0,0,TRUE
and i found the experiments can not show 1 the proposed tpo is better than other baselines 2 tpo can work with other methods especially off-policy algorithms 3 the learning efficiency proposed objective algorithm are questionable 4 the proposed method is not really a method that makes mcts work for continuous action spaces except with restricted requirements .,- experimental results are quite promising as expected .,positive,negative,1,5,1,5,1,5,1,5,TRUE
and it is not always clear which case is shown and how different numbers in different tables relate to each other .,the contributions are stated clearly and sufficient details of the method are present .,positive,negative,1,5,1,5,1,5,1,5,TRUE
and the idea of formulating the problem is nice however i have concerns about clarity and significance .,the paper applies the method of solving quadratic program using efficient differentiable solver introduced in 1 to the mpc cost function which makes the novelty in the paper very limited .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
and the readability of the second half of the paper is clearly worse than the first half .,quality the mathematical derivations are very clear and easy to follow .,positive,negative,1,4,1,4,1,4,1,4,TRUE
and the searched architecture also performs well on other tasks or datasets .,2 .experimental results are rather weak .,negative,positive,1,5,1,5,1,5,1,5,TRUE
as a minor drawback the motivation and context seems to focus quite strongly on variational-inference related methods while estimators of f-divergence are of interest in a much broader field as well .,the paper considers an important problem of estimating f-divergences under a scenario which has a lot of potential applications .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
as a summary i feel that the paper is not strong for theoretical analyses nor practical usefulness and thus further investigation for either side is necessary .,the experiments successfully compare with relevant baselines and prior approaches .,positive,negative,1,5,1,5,1,5,1,5,TRUE
as far as i could determine the contributions presented in this paper represent significant steps for ooms and the descriptions of these algorithms appear to be thorough .,the experimental evaluation would benefit a lot from explicit comparisons with bayesian alternatives e.g .ruttor et al.,negative,positive,0,0,0,0,0,0,0,0,TRUE
as far as i could see the proofs are correct though some clarification is required see below .,- the presentation needs to be significantly improved .,negative,positive,0,0,0,0,0,0,0,0,TRUE
as far as i have checked they are correct and rigorous .,in particular i think the proof of theorem 2 would benefit from a little more discussion on the inequalities required at the end for dealing with the delta term .,negative,positive,0,0,0,0,0,0,0,0,TRUE
as far as organization is concerned a lot of real estate is spent on background material and few experimental results are presented to support claims made in the introduction .,this paper proposes applying randomization to the output layer of a dnn to defend against query-based attacks based on finite difference estimates .,positive,negative,0,0,0,0,0,0,0,0,TRUE
as in so many nips and icml papers i review these days the scholarship is somewhat shoddy .,the paper presents a very interesting idea uses combinatorial methods only for projecting neural or hybrid neural-symbolic functions to the programmatic space .,positive,negative,0,0,0,0,0,-2,0,-2,FALSE
as it stands the algorithm still appears ad hoc to me .,while relatively straightforward the approach performs well .,positive,negative,1,5,1,5,1,5,1,5,TRUE
as such the reader needs to go back and forth between the two papers to understand the terminology and contribution of this work .,clarity this paper is well-organized and easy to follow .,positive,negative,1,4,1,4,1,4,1,4,TRUE
as such the reader needs to go back and forth between the two papers to understand the terminology and contribution of this work .,clarity the paper is clearly written and good readability .,positive,negative,1,4,1,4,1,4,1,4,TRUE
as tensor-based algorithms are becoming increasingly common at least in theory making these methods practical -- especially in terms of time and memory complexity -- seems important .,however the authors have not motivated the use of differential privacy well enough for this task .,negative,positive,0,0,0,0,0,2,0,-1,FALSE
as this is a modeling and inference paper the inference section needs to be able to be read on its own without referring to other work and an honest assessment of the limitations of the model should be included .,its formulation is neatly expressed and the paper cleanly situates the model in the context of previous work .,positive,negative,0,-2,0,-2,0,-3,0,0,FALSE
